class,confidence,lat,lon,mission_type,risk_level,source
smoke,0.5,31.6328,5.98817,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.59109,5.95712,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.58674,5.95027,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.18867,21.52876,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.1904,21.42713,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.39641,6.93081,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.39537,6.94187,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.40459,5.97179,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.17739,8.10213,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.1769,8.10684,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.36555,6.04926,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.3607,6.04866,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.82377,17.29077,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.19187,6.78887,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.92598,21.5075,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.05559,8.03436,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.05641,20.78445,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.05551,20.78875,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.01657,8.16113,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.03907,20.78433,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.69407,22.37683,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.03816,20.78864,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.69526,22.3715,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.87269,21.21921,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.91224,20.96844,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.91317,20.96401,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.9067,20.95295,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.82896,21.3194,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.89975,20.96504,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.89235,20.95839,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.81366,21.28576,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.81466,21.28114,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.44441,17.96731,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.71245,21.45457,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.71472,21.38016,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.70188,21.37665,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.07452,19.06122,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.0735,19.06646,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.91715,19.77328,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.91326,19.77224,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.91209,19.77801,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.90431,19.77593,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.66331,8.10198,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.89924,5.58601,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.87929,5.64282,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.37325,21.94067,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.98787,22.3231,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.37811,7.00896,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.2537,8.08346,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.39803,6.54419,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.25353,8.08522,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.81449,22.43071,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.81325,22.43626,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.82698,17.38708,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.64866,22.50229,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.20787,19.91289,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.6471,22.48187,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.64338,22.49882,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.58506,22.40459,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.58041,22.40329,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.57442,22.34219,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.58119,17.33176,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.98453,19.90455,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.10064,19.25173,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.59491,21.61916,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.13027,18.79261,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.70111,6.71025,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.69758,6.69895,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.68845,6.69776,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.67217,6.72265,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.11095,9.66596,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.97313,10.04033,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.58482,18.46984,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.92173,9.98304,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.92441,9.74609,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.91686,9.74488,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,29.26771,6.49056,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.91309,9.74427,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.86647,9.93751,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.82337,9.90808,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.73338,9.14976,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.7368,9.15017,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.73611,9.15576,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.64204,9.78662,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.63894,9.78086,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.63453,9.78541,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.7107,9.03705,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.52939,9.12219,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.66064,7.91018,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.68598,7.19135,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.68548,7.1962,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.63631,7.53699,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.45185,9.13641,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.60256,7.2598,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.56139,7.5193,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.56307,7.46361,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.46847,7.50894,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.45891,7.51694,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.43328,7.51318,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,28.08354,9.78559,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.92671,9.25288,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.87634,9.24969,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.87569,9.25513,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.11965,14.3893,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.93268,8.3734,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.72519,9.87969,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.73579,9.1802,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.70506,9.17564,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.70122,9.17504,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.52639,9.62494,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.4111,8.83814,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,26.7566,12.41415,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,26.70299,12.45272,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,27.14754,8.80489,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,26.56413,12.6768,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,26.57994,12.20985,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,26.4345,11.84852,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,26.03319,11.97814,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,15.96903,12.56076,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,13.24676,12.59569,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,12.83082,13.89246,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,15.01399,-3.06008,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,15.01617,-3.06102,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,14.88068,-2.90907,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,12.15442,14.10817,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,12.13869,14.11011,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,12.13708,14.1193,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,12.13415,14.11404,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,12.13334,14.11864,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,13.43924,5.75232,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,13.36972,5.9064,SURVEY,MEDIUM,firms_viirs_noaa20
